Time,Ch1,Ch2,status
2022/02/24 17:24:36.197,-17594,-3915,3
2022/02/24 17:24:36.199,-17595,-3855,3
2022/02/24 17:24:36.200,-17596,-3802,3
2022/02/24 17:24:36.202,-17601,-3757,3
2022/02/24 17:24:36.204,-17612,-3723,3
2022/02/24 17:24:36.205,-17631,-3699,3
2022/02/24 17:24:36.207,-17657,-3681,3
2022/02/24 17:24:36.209,-17689,-3670,3
2022/02/24 17:24:36.210,-17721,-3663,3
2022/02/24 17:24:36.212,-17752,-3658,3
2022/02/24 17:24:36.214,-17777,-3651,3
2022/02/24 17:24:36.215,-17792,-3640,3
2022/02/24 17:24:36.217,-17795,-3626,3
2022/02/24 17:24:36.219,-17788,-3607,3
2022/02/24 17:24:36.220,-17770,-3582,3
2022/02/24 17:24:36.222,-17748,-3552,3
2022/02/24 17:24:36.224,-17724,-3520,3
2022/02/24 17:24:36.225,-17702,-3487,3
2022/02/24 17:24:36.227,-17686,-3452,3
2022/02/24 17:24:36.229,-17679,-3418,3
2022/02/24 17:24:36.230,-17678,-3385,3
2022/02/24 17:24:36.232,-17681,-3352,3
2022/02/24 17:24:36.234,-17686,-3319,3
2022/02/24 17:24:36.235,-17687,-3284,3
2022/02/24 17:24:36.237,-17679,-3248,3
2022/02/24 17:24:36.239,-17660,-3209,3
2022/02/24 17:24:36.240,-17629,-3166,3
2022/02/24 17:24:36.242,-17587,-3120,3
2022/02/24 17:24:36.244,-17539,-3073,3
2022/02/24 17:24:36.245,-17489,-3027,3
2022/02/24 17:24:36.247,-17445,-2981,3
2022/02/24 17:24:36.249,-17413,-2940,3
2022/02/24 17:24:36.250,-17397,-2906,3
2022/02/24 17:24:36.252,-17400,-2878,3
2022/02/24 17:24:36.254,-17420,-2857,3
2022/02/24 17:24:36.255,-17456,-2843,3
2022/02/24 17:24:36.257,-17500,-2835,3
2022/02/24 17:24:36.259,-17548,-2831,3
2022/02/24 17:24:36.260,-17591,-2828,3
2022/02/24 17:24:36.262,-17626,-2823,3
2022/02/24 17:24:36.264,-17647,-2816,3
2022/02/24 17:24:36.265,-17654,-2804,3
2022/02/24 17:24:36.267,-17649,-2786,3
2022/02/24 17:24:36.269,-17634,-2760,3
2022/02/24 17:24:36.270,-17615,-2729,3
2022/02/24 17:24:36.272,-17594,-2693,3
2022/02/24 17:24:36.274,-17578,-2653,3
2022/02/24 17:24:36.275,-17567,-2611,3
2022/02/24 17:24:36.277,-17563,-2570,3
2022/02/24 17:24:36.279,-17564,-2532,3
2022/02/24 17:24:36.280,-17569,-2499,3
2022/02/24 17:24:36.282,-17576,-2472,3
2022/02/24 17:24:36.284,-17581,-2452,3
2022/02/24 17:24:36.285,-17583,-2439,3
2022/02/24 17:24:36.287,-17582,-2430,3
2022/02/24 17:24:36.289,-17579,-2423,3
2022/02/24 17:24:36.290,-17575,-2415,3
2022/02/24 17:24:36.292,-17572,-2404,3
2022/02/24 17:24:36.294,-17571,-2385,3
2022/02/24 17:24:36.295,-17574,-2357,3
2022/02/24 17:24:36.297,-17578,-2318,3
2022/02/24 17:24:36.299,-17582,-2270,3
2022/02/24 17:24:36.300,-17584,-2212,3
2022/02/24 17:24:36.302,-17583,-2149,3
2022/02/24 17:24:36.304,-17575,-2086,3
2022/02/24 17:24:36.305,-17562,-2027,3
2022/02/24 17:24:36.307,-17544,-1976,3
2022/02/24 17:24:36.309,-17525,-1937,3
2022/02/24 17:24:36.310,-17508,-1913,3
2022/02/24 17:24:36.312,-17498,-1904,3
2022/02/24 17:24:36.314,-17499,-1909,3
2022/02/24 17:24:36.315,-17515,-1925,3
2022/02/24 17:24:36.317,-17545,-1948,3
2022/02/24 17:24:36.319,-17588,-1974,3
2022/02/24 17:24:36.320,-17639,-1996,3
2022/02/24 17:24:36.322,-17694,-2010,3
2022/02/24 17:24:36.324,-17745,-2014,3
2022/02/24 17:24:36.325,-17786,-2006,3
2022/02/24 17:24:36.327,-17812,-1985,3
2022/02/24 17:24:36.329,-17823,-1952,3
2022/02/24 17:24:36.330,-17817,-1910,3
2022/02/24 17:24:36.332,-17799,-1863,3
2022/02/24 17:24:36.334,-17772,-1812,3
2022/02/24 17:24:36.335,-17745,-1762,3
2022/02/24 17:24:36.337,-17723,-1716,3
2022/02/24 17:24:36.339,-17712,-1675,3
2022/02/24 17:24:36.340,-17713,-1640,3
2022/02/24 17:24:36.342,-17730,-1611,3
2022/02/24 17:24:36.344,-17758,-1588,3
2022/02/24 17:24:36.345,-17793,-1570,3
2022/02/24 17:24:36.347,-17830,-1553,3
2022/02/24 17:24:36.349,-17861,-1538,3
2022/02/24 17:24:36.350,-17882,-1522,3
2022/02/24 17:24:36.352,-17887,-1505,3
2022/02/24 17:24:36.354,-17875,-1484,3
2022/02/24 17:24:36.355,-17848,-1462,3
2022/02/24 17:24:36.357,-17809,-1440,3
2022/02/24 17:24:36.359,-17763,-1417,3
2022/02/24 17:24:36.360,-17717,-1394,3
2022/02/24 17:24:36.362,-17679,-1373,3
2022/02/24 17:24:36.364,-17653,-1355,3
2022/02/24 17:24:36.365,-17642,-1339,3
2022/02/24 17:24:36.367,-17648,-1324,3
2022/02/24 17:24:36.369,-17668,-1311,3
2022/02/24 17:24:36.370,-17698,-1297,3
2022/02/24 17:24:36.372,-17729,-1282,3
2022/02/24 17:24:36.374,-17755,-1264,3
2022/02/24 17:24:36.375,-17769,-1242,3
2022/02/24 17:24:36.377,-17764,-1217,3
2022/02/24 17:24:36.379,-17737,-1190,3
2022/02/24 17:24:36.380,-17687,-1161,3
2022/02/24 17:24:36.382,-17618,-1133,3
2022/02/24 17:24:36.384,-17536,-1108,3
2022/02/24 17:24:36.385,-17449,-1087,3
2022/02/24 17:24:36.387,-17366,-1069,3
2022/02/24 17:24:36.389,-17299,-1054,3
2022/02/24 17:24:36.390,-17255,-1043,3
2022/02/24 17:24:36.392,-17239,-1031,3
2022/02/24 17:24:36.394,-17255,-1016,3
2022/02/24 17:24:36.395,-17302,-996,3
2022/02/24 17:24:36.397,-17374,-970,3
2022/02/24 17:24:36.399,-17465,-938,3
2022/02/24 17:24:36.400,-17565,-899,3
2022/02/24 17:24:36.402,-17665,-857,3
2022/02/24 17:24:36.404,-17755,-815,3
2022/02/24 17:24:36.405,-17828,-777,3
2022/02/24 17:24:36.407,-17879,-746,3
2022/02/24 17:24:36.409,-17906,-725,3
2022/02/24 17:24:36.410,-17909,-716,3
2022/02/24 17:24:36.412,-17892,-720,3
2022/02/24 17:24:36.414,-17859,-733,3
2022/02/24 17:24:36.415,-17816,-752,3
2022/02/24 17:24:36.417,-17769,-774,3
2022/02/24 17:24:36.419,-17721,-794,3
2022/02/24 17:24:36.420,-17678,-806,3
2022/02/24 17:24:36.422,-17643,-807,3
2022/02/24 17:24:36.424,-17616,-796,3
2022/02/24 17:24:36.425,-17597,-773,3
2022/02/24 17:24:36.427,-17586,-737,3
2022/02/24 17:24:36.429,-17582,-691,3
2022/02/24 17:24:36.430,-17583,-641,3
2022/02/24 17:24:36.432,-17586,-590,3
2022/02/24 17:24:36.434,-17591,-540,3
2022/02/24 17:24:36.435,-17596,-495,3
2022/02/24 17:24:36.437,-17599,-458,3
2022/02/24 17:24:36.439,-17602,-429,3
2022/02/24 17:24:36.440,-17602,-408,3
2022/02/24 17:24:36.442,-17601,-393,3
2022/02/24 17:24:36.444,-17600,-385,3
2022/02/24 17:24:36.445,-17597,-380,3
2022/02/24 17:24:36.447,-17595,-376,3
2022/02/24 17:24:36.449,-17594,-371,3
2022/02/24 17:24:36.450,-17593,-365,3
2022/02/24 17:24:36.452,-17594,-356,3
2022/02/24 17:24:36.454,-17596,-344,3
2022/02/24 17:24:36.455,-17599,-330,3
2022/02/24 17:24:36.457,-17601,-314,3
2022/02/24 17:24:36.459,-17602,-297,3
2022/02/24 17:24:36.460,-17600,-280,3
2022/02/24 17:24:36.462,-17596,-262,3
2022/02/24 17:24:36.464,-17588,-246,3
2022/02/24 17:24:36.465,-17579,-230,3
2022/02/24 17:24:36.467,-17568,-215,3
2022/02/24 17:24:36.469,-17557,-201,3
2022/02/24 17:24:36.470,-17547,-187,3
2022/02/24 17:24:36.472,-17541,-173,3
2022/02/24 17:24:36.474,-17538,-158,3
2022/02/24 17:24:36.475,-17540,-141,3
2022/02/24 17:24:36.477,-17546,-125,3
2022/02/24 17:24:36.479,-17555,-109,3
2022/02/24 17:24:36.480,-17566,-93,3
2022/02/24 17:24:36.482,-17578,-77,3
2022/02/24 17:24:36.484,-17588,-64,3
2022/02/24 17:24:36.485,-17594,-52,3
2022/02/24 17:24:36.487,-17595,-41,3
2022/02/24 17:24:36.489,-17592,-30,3
2022/02/24 17:24:36.490,-17582,-20,3
2022/02/24 17:24:36.492,-17568,-7,3
2022/02/24 17:24:36.494,-17549,8,3
2022/02/24 17:24:36.495,-17530,29,3
2022/02/24 17:24:36.497,-17509,54,3
2022/02/24 17:24:36.499,-17491,82,3
2022/02/24 17:24:36.500,-17475,113,3
2022/02/24 17:24:36.502,-17466,145,3
2022/02/24 17:24:36.504,-17463,175,3
2022/02/24 17:24:36.505,-17466,201,3
2022/02/24 17:24:36.507,-17477,223,3
2022/02/24 17:24:36.509,-17493,238,3
2022/02/24 17:24:36.510,-17513,245,3
2022/02/24 17:24:36.512,-17535,247,3
2022/02/24 17:24:36.514,-17556,244,3
2022/02/24 17:24:36.515,-17573,240,3
2022/02/24 17:24:36.517,-17583,234,3
2022/02/24 17:24:36.519,-17585,230,3
2022/02/24 17:24:36.520,-17576,230,3
2022/02/24 17:24:36.522,-17560,235,3
2022/02/24 17:24:36.524,-17535,243,3
2022/02/24 17:24:36.525,-17505,255,3
2022/02/24 17:24:36.527,-17474,271,3
2022/02/24 17:24:36.529,-17445,289,3
2022/02/24 17:24:36.530,-17422,309,3
2022/02/24 17:24:36.532,-17407,328,3
2022/02/24 17:24:36.534,-17402,350,3
2022/02/24 17:24:36.535,-17407,372,3
2022/02/24 17:24:36.537,-17420,396,3
2022/02/24 17:24:36.539,-17438,420,3
2022/02/24 17:24:36.540,-17458,447,3
2022/02/24 17:24:36.542,-17479,476,3
2022/02/24 17:24:36.544,-17495,503,3
2022/02/24 17:24:36.545,-17506,529,3
2022/02/24 17:24:36.547,-17511,553,3
2022/02/24 17:24:36.549,-17510,573,3
2022/02/24 17:24:36.550,-17506,586,3
2022/02/24 17:24:36.552,-17499,592,3
2022/02/24 17:24:36.554,-17493,593,3
2022/02/24 17:24:36.555,-17488,589,3
2022/02/24 17:24:36.557,-17486,581,3
2022/02/24 17:24:36.559,-17487,572,3
2022/02/24 17:24:36.560,-17490,564,3
2022/02/24 17:24:36.562,-17494,560,3
2022/02/24 17:24:36.564,-17498,560,3
2022/02/24 17:24:36.565,-17501,565,3
2022/02/24 17:24:36.567,-17500,577,3
2022/02/24 17:24:36.569,-17498,595,3
2022/02/24 17:24:36.570,-17494,616,3
2022/02/24 17:24:36.572,-17490,640,3
2022/02/24 17:24:36.574,-17486,665,3
2022/02/24 17:24:36.575,-17484,690,3
2022/02/24 17:24:36.577,-17486,711,3
2022/02/24 17:24:36.579,-17490,728,3
2022/02/24 17:24:36.580,-17498,741,3
2022/02/24 17:24:36.582,-17509,750,3
2022/02/24 17:24:36.584,-17520,753,3
2022/02/24 17:24:36.585,-17530,753,3
2022/02/24 17:24:36.587,-17537,751,3
2022/02/24 17:24:36.589,-17541,749,3
2022/02/24 17:24:36.590,-17539,748,3
2022/02/24 17:24:36.592,-17531,751,3
2022/02/24 17:24:36.594,-17517,761,3
2022/02/24 17:24:36.595,-17499,779,3
2022/02/24 17:24:36.597,-17475,804,3
2022/02/24 17:24:36.599,-17448,836,3
2022/02/24 17:24:36.600,-17419,875,3
2022/02/24 17:24:36.602,-17391,919,3
2022/02/24 17:24:36.604,-17364,963,3
2022/02/24 17:24:36.605,-17341,1004,3
2022/02/24 17:24:36.607,-17323,1041,3
2022/02/24 17:24:36.609,-17313,1069,3
2022/02/24 17:24:36.610,-17310,1087,3
2022/02/24 17:24:36.612,-17315,1093,3
2022/02/24 17:24:36.614,-17329,1091,3
2022/02/24 17:24:36.615,-17350,1080,3
2022/02/24 17:24:36.617,-17375,1064,3
2022/02/24 17:24:36.619,-17403,1044,3
2022/02/24 17:24:36.620,-17430,1027,3
2022/02/24 17:24:36.622,-17454,1014,3
2022/02/24 17:24:36.624,-17472,1007,3
2022/02/24 17:24:36.625,-17482,1008,3
2022/02/24 17:24:36.627,-17484,1018,3
2022/02/24 17:24:36.629,-17479,1035,3
2022/02/24 17:24:36.630,-17468,1058,3
2022/02/24 17:24:36.632,-17453,1084,3
2022/02/24 17:24:36.634,-17437,1113,3
2022/02/24 17:24:36.635,-17423,1140,3
